theme_group_name,theme_name
AI・データサイエンス,AI・データサイエンス
AI・データサイエンス,機械学習
AI・データサイエンス,深層学習
AI・データサイエンス,生成AI
AI・データサイエンス,自然言語処理
AI・データサイエンス,コンピュータビジョン
AI・データサイエンス,推薦システム
AI・データサイエンス,グラフ機械学習
AI・データサイエンス,時系列解析
AI・データサイエンス,ML運用（MLOps）
AI・データサイエンス,最適化（ML）
AI・データサイエンス,その他
計算機科学・ソフトウェア,計算機科学・ソフトウェア
計算機科学・ソフトウェア,アルゴリズム
計算機科学・ソフトウェア,計算理論
計算機科学・ソフトウェア,データベース
計算機科学・ソフトウェア,情報検索
計算機科学・ソフトウェア,分散システム
計算機科学・ソフトウェア,オペレーティングシステム
計算機科学・ソフトウェア,プログラミング言語
計算機科学・ソフトウェア,ソフトウェア工学
計算機科学・ソフトウェア,ヒューマンコンピュータ相互作用（HCI）
計算機科学・ソフトウェア,可視化
計算機科学・ソフトウェア,コンピュータグラフィックス
計算機科学・ソフトウェア,その他
セキュリティ・プライバシー,セキュリティ・プライバシー
セキュリティ・プライバシー,暗号
セキュリティ・プライバシー,ネットワークセキュリティ
セキュリティ・プライバシー,セキュアシステム
セキュリティ・プライバシー,プライバシー保護
セキュリティ・プライバシー,認証・認可
セキュリティ・プライバシー,マルウェア解析
セキュリティ・プライバシー,ブロックチェーン
セキュリティ・プライバシー,その他
ネットワーク・通信・信号,ネットワーク・通信・信号
ネットワーク・通信・信号,無線通信
ネットワーク・通信・信号,5G/6G
ネットワーク・通信・信号,光通信
ネットワーク・通信・信号,RF・アンテナ
ネットワーク・通信・信号,信号処理
ネットワーク・通信・信号,音声・音響
ネットワーク・通信・信号,画像信号処理
ネットワーク・通信・信号,レーダ・LiDAR
ネットワーク・通信・信号,衛星通信
ネットワーク・通信・信号,その他
電気電子・半導体,電気電子・半導体
電気電子・半導体,回路
電気電子・半導体,LSI/VLSI
電気電子・半導体,半導体デバイス
電気電子・半導体,パワーエレクトロニクス
電気電子・半導体,組込み
電気電子・半導体,センサ
電気電子・半導体,フォトニクス
電気電子・半導体,その他
制御・システム,制御・システム
制御・システム,制御理論
制御・システム,システム同定
制御・システム,最適制御
制御・システム,モデル予測制御（MPC）
制御・システム,非線形制御
制御・システム,推定・フィルタ
制御・システム,CPS（サイバーフィジカル）
制御・システム,マルチエージェント
制御・システム,その他
ロボティクス・自律システム,ロボティクス・自律システム
ロボティクス・自律システム,ロボティクス一般
ロボティクス・自律システム,マニピュレーション
ロボティクス・自律システム,SLAM
ロボティクス・自律システム,自動運転
ロボティクス・自律システム,ドローン
ロボティクス・自律システム,触覚・ハプティクス
ロボティクス・自律システム,ヒューマンロボットインタラクション（HRI）
ロボティクス・自律システム,メカトロニクス
ロボティクス・自律システム,その他
機械・ものづくり・航空宇宙,機械・ものづくり・航空宇宙
機械・ものづくり・航空宇宙,機械力学
機械・ものづくり・航空宇宙,流体力学
機械・ものづくり・航空宇宙,熱工学
機械・ものづくり・航空宇宙,生産・加工
機械・ものづくり・航空宇宙,CAD/CAM
機械・ものづくり・航空宇宙,トライボロジー
機械・ものづくり・航空宇宙,航空宇宙
機械・ものづくり・航空宇宙,材料力学
機械・ものづくり・航空宇宙,その他
土木・建築・都市,土木・建築・都市
土木・建築・都市,構造工学
土木・建築・都市,地盤工学
土木・建築・都市,交通工学
土木・建築・都市,都市計画
土木・建築・都市,建築環境
土木・建築・都市,防災・減災
土木・建築・都市,建設マネジメント
土木・建築・都市,その他
材料・デバイス・ナノ,材料・デバイス・ナノ
材料・デバイス・ナノ,ナノ材料
材料・デバイス・ナノ,高分子材料
材料・デバイス・ナノ,セラミックス
材料・デバイス・ナノ,金属材料
材料・デバイス・ナノ,複合材料
材料・デバイス・ナノ,薄膜
材料・デバイス・ナノ,表面・界面
材料・デバイス・ナノ,電池材料
